Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
127,Exit short,2024-06-12 12:00,Buy signal — close short,69724.62,28.792987,1993496.564,-15683.94,-0.79,1600.43,89463.43,4.49,-27656.36,-1.39,977811.44,97.78,29
127,Entry short,2024-06-07 16:00,Sell,69235.49,28.792987,1993496.564,-15683.94,-0.79,1600.43,89463.43,4.49,-27656.36,-1.39,977811.44,97.78,29
128,Exit long,2024-06-14 16:00,Sell signal — close long,65496.73,28.366219,1977823.841,-121463.54,-6.14,1534.29,2845.7,0.14,-133425.89,-6.74,856347.9,85.63,13
128,Entry long,2024-06-12 12:00,Buy,69724.62,28.366219,1977823.841,-121463.54,-6.14,1534.29,2845.7,0.14,-133425.89,-6.74,856347.9,85.63,13
129,Exit short,2024-06-30 20:00,Buy signal — close short,62671.77,28.342621,1856348.995,78613.72,4.23,1453.05,197549.23,10.64,-50382.09,-2.71,934961.56,93.50,97
129,Entry short,2024-06-14 16:00,Sell,65496.73,28.342621,1856348.995,78613.72,4.23,1453.05,197549.23,10.64,-50382.09,-2.71,934961.56,93.50,97
130,Exit long,2024-07-03 00:00,Sell signal — close long,60894.1,30.873529,1934898.709,-56408.91,-2.91,1525.97,32533.95,1.68,-66198.05,-3.42,878552.7,87.86,13
130,Entry long,2024-06-30 20:00,Buy,62671.77,30.873529,1934898.709,-56408.91,-2.91,1525.97,32533.95,1.68,-66198.05,-3.42,878552.7,87.86,13
131,Exit short,2024-07-10 04:00,Buy signal — close short,58972.82,30.849522,1878553.878,57791.43,3.08,1479.13,226050.25,12.03,-6776.64,-0.36,936344.1,93.63,43
131,Entry short,2024-07-03 00:00,Sell,60894.1,30.849522,1878553.878,57791.43,3.08,1479.13,226050.25,12.03,-6776.64,-0.36,936344.1,93.63,43
132,Exit long,2024-07-24 20:00,Sell signal — close long,65389.15,32.833734,1936297.885,209038.77,10.79,1633.31,311311.1,16.07,-80295.52,-4.15,1145382.9,114.54,88
132,Entry long,2024-07-10 04:00,Buy,58972.82,32.833734,1936297.885,209038.77,10.79,1633.31,311311.1,16.07,-80295.52,-4.15,1145382.9,114.54,88
133,Exit short,2024-07-26 00:00,Buy signal — close short,67022.5,32.809482,2145384.14,-55327.11,-2.58,1737.74,62408.37,2.91,-67887.27,-3.16,1090055.8,109.01,7
133,Entry short,2024-07-24 20:00,Sell,65389.15,32.809482,2145384.14,-55327.11,-2.58,1737.74,62408.37,2.91,-67887.27,-3.16,1090055.8,109.01,7
134,Exit long,2024-07-29 20:00,Sell signal — close long,66783.49,31.185049,2090099.947,-9122.64,-0.44,1669.1,92512.04,4.42,-18077.32,-0.86,1080933.1,108.09,23
134,Entry long,2024-07-26 00:00,Buy,67022.5,31.185049,2090099.947,-9122.64,-0.44,1669.1,92512.04,4.42,-18077.32,-0.86,1080933.1,108.09,23
135,Exit short,2024-08-08 12:00,Buy signal — close short,59428.93,31.159414,2080934.413,227590.7,10.93,1573.08,549804.94,26.41,-7247.47,-0.35,1308523.9,130.85,58
135,Entry short,2024-07-29 20:00,Sell,66783.49,31.159414,2080934.413,227590.7,10.93,1573.08,549804.94,26.41,-7247.47,-0.35,1308523.9,130.85,58
136,Exit long,2024-08-15 04:00,Sell signal — close long,58071.83,38.842055,2308341.768,-54538.14,-2.36,1825.59,126658.45,5.48,-69157.95,-2.99,1253985.6,125.40,40
136,Entry long,2024-08-08 12:00,Buy,59428.93,38.842055,2308341.768,-54538.14,-2.36,1825.59,126658.45,5.48,-69157.95,-2.99,1253985.6,125.40,40
137,Exit short,2024-08-20 00:00,Buy signal — close short,60635.14,38.813778,2253987.118,-101334.73,-4.49,1842.99,73685.68,3.27,-111188.23,-4.93,1152651,115.27,29
137,Entry short,2024-08-15 04:00,Sell,58071.83,38.813778,2253987.118,-101334.73,-4.49,1842.99,73685.68,3.27,-111188.23,-4.93,1152651,115.27,29
138,Exit long,2024-08-27 08:00,Sell signal — close long,62426.03,35.503043,2152731.983,61834.43,2.87,1747.62,154034.06,7.15,-72657.48,-3.37,1214485.4,121.45,44
138,Entry long,2024-08-20 00:00,Buy,60635.14,35.503043,2152731.983,61834.43,2.87,1747.62,154034.06,7.15,-72657.48,-3.37,1214485.4,121.45,44
139,Exit short,2024-09-09 16:00,Buy signal — close short,57085.62,35.473773,2214486.818,187748.69,8.47,1695.81,348813.94,15.75,-3455.87,-0.16,1402234,140.22,80
139,Entry short,2024-08-27 08:00,Sell,62426.03,35.473773,2214486.818,187748.69,8.47,1695.81,348813.94,15.75,-3455.87,-0.16,1402234,140.22,80
140,Exit long,2024-09-16 12:00,Sell signal — close long,57881.97,42.078617,2402083.94,31574.24,1.31,1935.07,148621.5,6.18,-64842.91,-2.70,1433808.2,143.38,41
140,Entry long,2024-09-09 16:00,Buy,57085.62,42.078617,2402083.94,31574.24,1.31,1935.07,148621.5,6.18,-64842.91,-2.70,1433808.2,143.38,41
141,Exit short,2024-09-17 12:00,Buy signal — close short,61117.72,42.047806,2433809.845,-138057.66,-5.67,2001.47,15008.01,0.62,-144775.77,-5.95,1295750.6,129.58,6
141,Entry short,2024-09-16 12:00,Sell,57881.97,42.047806,2433809.845,-138057.66,-5.67,2001.47,15008.01,0.62,-144775.77,-5.95,1295750.6,129.58,6
142,Exit long,2024-09-30 08:00,Sell signal — close long,63830.79,37.564573,2295861.055,100037.86,4.36,1877.45,199348.16,8.68,-73090.41,-3.18,1395788.5,139.58,77
