Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
88,Entry short,2024-10-09 16:00,Sell,60993.45,32.524501,1983781.526,-67873.42,-3.42,1613.53,67236.36,3.39,-77496.37,-3.90,915906.5,91.59,12
89,Exit long,2024-10-21 12:00,Sell signal — close long,67310.04,30.397283,1915961.418,128496.12,6.70,1584.8,195548.08,10.20,-31075.21,-1.62,1044402.6,104.44,59
89,Entry long,2024-10-11 16:00,Buy,63030.68,30.397283,1915961.418,128496.12,6.70,1584.8,195548.08,10.20,-31075.21,-1.62,1044402.6,104.44,59
90,Exit short,2024-10-24 16:00,Buy signal — close short,68221.83,30.37295,2044404.479,-29340.35,-1.43,1646.6,62755.25,3.07,-29147.83,-1.43,1015062.25,101.51,19
90,Entry short,2024-10-21 12:00,Sell,67310.04,30.37295,2044404.479,-29340.35,-1.43,1646.6,62755.25,3.07,-29147.83,-1.43,1015062.25,101.51,19
91,Exit long,2024-10-31 16:00,Sell signal — close long,70063.47,29.537265,2015086.271,52763.18,2.62,1633.83,157034.61,7.79,-79025.14,-3.92,1067825.5,106.78,42
91,Entry long,2024-10-24 16:00,Buy,68221.83,29.537265,2015086.271,52763.18,2.62,1633.83,157034.61,7.79,-79025.14,-3.92,1067825.5,106.78,42
92,Exit short,2024-11-05 12:00,Short SL/Trail,70154.47,29.513629,2067827.26,-4341.08,-0.21,1655.34,95084.2,4.60,-43750.87,-2.11,1063484.4,106.35,29
92,Entry short,2024-10-31 16:00,Sell,70063.47,29.513629,2067827.26,-4341.08,-0.21,1655.34,95084.2,4.60,-43750.87,-2.11,1063484.4,106.35,29
93,Exit long,2024-11-12 08:00,Long SL/Trail,85528.9,27.750181,2062659.299,309008.72,14.98,1774.44,434877.47,21.07,-46027.33,-2.23,1372493.1,137.25,38
93,Entry long,2024-11-06 00:00,Buy,74329.58,27.750181,2062659.299,309008.72,14.98,1774.44,434877.47,21.07,-46027.33,-2.23,1372493.1,137.25,38
94,Exit short,2024-11-27 12:00,Short SL/Trail,95339.17,25.025378,2371544.461,-16257.28,-0.69,1902.98,98312.29,4.14,-16464.6,-0.69,1356235.8,135.62,11
94,Entry short,2024-11-25 16:00,Sell,94765.58,25.025378,2371544.461,-16257.28,-0.69,1902.98,98312.29,4.14,-16464.6,-0.69,1356235.8,135.62,11
95,Exit long,2024-12-05 16:00,Long SL/Trail,98895.76,24.22031,2355293.631,38092.1,1.62,1900.23,165119.11,7.01,-88752.85,-3.77,1394327.9,139.43,38
95,Entry long,2024-11-29 08:00,Buy,97244.57,24.22031,2355293.631,38092.1,1.62,1900.23,165119.11,7.01,-88752.85,-3.77,1394327.9,139.43,38
96,Exit short,2024-12-11 16:00,Buy signal — close short,101177.2,24.652493,2393370.519,-102854.75,-4.30,1955.06,68632.45,2.87,-121831.73,-5.09,1291473.1,129.15,35
96,Entry short,2024-12-05 20:00,Sell,97084.32,24.652493,2393370.519,-102854.75,-4.30,1955.06,68632.45,2.87,-121831.73,-5.09,1291473.1,129.15,35
97,Exit long,2024-12-18 16:00,Long SL/Trail,102948.97,22.648929,2291555.219,38279.4,1.67,1849.3,161933.25,7.06,-45033.79,-1.96,1329752.5,132.98,42
97,Entry long,2024-12-11 16:00,Buy,101177.2,22.648929,2291555.219,38279.4,1.67,1849.3,161933.25,7.06,-45033.79,-1.96,1329752.5,132.98,42
98,Exit short,2024-12-20 12:00,Short SL/Trail,97190.12,22.640299,2328821.002,126595.93,5.43,1811.69,240238.6,10.31,-3477.66,-0.15,1456348.5,145.63,11
98,Entry short,2024-12-18 16:00,Sell,102861.76,22.640299,2328821.002,126595.93,5.43,1811.69,240238.6,10.31,-3477.66,-0.15,1456348.5,145.63,11
99,Exit long,2024-12-27 12:00,Sell signal — close long,94458.2,24.710888,2455366.25,-123136.05,-5.01,1915.8,11587.29,0.47,-135520.58,-5.52,1333212.4,133.32,10
99,Entry long,2024-12-25 20:00,Buy,99363.74,24.710888,2455366.25,-123136.05,-5.01,1915.8,11587.29,0.47,-135520.58,-5.52,1333212.4,133.32,10
100,Exit short,2025-01-02 08:00,Buy signal — close short,96532,24.701018,2333213.698,-53112.03,-2.28,1887.06,75141.65,3.22,-55640.85,-2.38,1280100.4,128.01,35
100,Entry short,2024-12-27 12:00,Sell,94458.2,24.701018,2333213.698,-53112.03,-2.28,1887.06,75141.65,3.22,-55640.85,-2.38,1280100.4,128.01,35
101,Exit long,2025-01-07 12:00,Long SL/Trail,97582.72,23.620593,2280143.083,22984.59,1.01,1834.04,145221.47,6.37,-18946.62,-0.83,1303085,130.31,31
101,Entry long,2025-01-02 08:00,Buy,96532,23.620593,2280143.083,22984.59,1.01,1834.04,145221.47,6.37,-18946.62,-0.83,1303085,130.31,31
102,Exit short,2025-01-10 16:00,Short SL/Trail,95767.62,23.493213,2302164.078,50454.16,2.19,1820.82,158492.8,6.88,-9972.1,-0.43,1353539.1,135.35,19
102,Entry short,2025-01-07 12:00,Sell,97992.73,23.493213,2302164.078,50454.16,2.19,1820.82,158492.8,6.88,-9972.1,-0.43,1353539.1,135.35,19
103,Exit long,2025-01-19 20:00,Long SL/Trail,100768.06,24.377319,2352598.014,101933.51,4.33,1923.62,237578.6,10.09,-29836.21,-1.27,1455472.6,145.55,33
103,Entry long,2025-01-14 08:00,Buy,96507.66,24.377319,2352598.014,101933.51,4.33,1923.62,237578.6,10.09,-29836.21,-1.27,1455472.6,145.55,33
104,Exit short,2025-01-29 16:00,Buy signal — close short,103515.55,24.216957,2454490.788,-54325.36,-2.21,1984.53,86068.72,3.51,-62109.75,-2.53,1401147.2,140.11,16
104,Entry short,2025-01-27 00:00,Sell,101354.22,24.216957,2454490.788,-54325.36,-2.21,1984.53,86068.72,3.51,-62109.75,-2.53,1401147.2,140.11,16
